sample_id,pop,location,reef,num_reads,total_bases,seq_depth,mapping_rate,genome_cov,mapping_depth,net_mapping_depth
FI-1-5_S9,FI,Fitzroy Island,Inner,16339884,1650328284,3.39,91.74%,79.59%,2.90047,3.64411
FI-2-10_S22,FI,Fitzroy Island,Inner,16827330,1699560330,3.49,94.36%,79.41%,3.07383,3.87062
FI-2-13_S26,FI,Fitzroy Island,Inner,18230676,1841298276,3.78,95.40%,82.05%,3.3799,4.11952
FI-2-14_S24,FI,Fitzroy Island,Inner,22721790,2294900790,4.71,94.94%,83.90%,4.173,4.97363
FI-2-19_S1,FI,Fitzroy Island,Inner,13022542,1315276742,2.70,93.53%,74.76%,2.36814,3.16753
FI-2-21_S28,FI,Fitzroy Island,Inner,12242798,1236522598,2.54,93.00%,74.01%,2.21729,2.99581
FI-2-23_S17,FI,Fitzroy Island,Inner,10979406,1108920006,2.28,93.69%,71.29%,2.00062,2.80632
FI-2-25_S4,FI,Fitzroy Island,Inner,15642020,1579844020,3.25,96.31%,78.34%,2.93212,3.74286
FI-2-27_S23,FI,Fitzroy Island,Inner,15981944,1614176344,3.32,93.05%,78.43%,2.87403,3.66438
FI-2-29_S21,FI,Fitzroy Island,Inner,15048162,1519864362,3.12,94.12%,77.96%,2.74491,3.52099
FI-2-2_S15,FI,Fitzroy Island,Inner,16050608,1621111408,3.33,88.00%,76.58%,2.72715,3.5613
FI-2-30_S1,FI,Fitzroy Island,Inner,4478452,452323652,0.93,97.14%,43.50%,0.832416,1.91365
FI-2-5_S6,FI,Fitzroy Island,Inner,14478178,1462295978,3.00,95.27%,78.43%,2.69223,3.43258
FI-2-6_S28,FI,Fitzroy Island,Inner,15866210,1602487210,3.29,95.09%,79.08%,2.9325,3.70848
FI-2-8_S7,FI,Fitzroy Island,Inner,14277810,1442058810,2.96,93.16%,77.18%,2.58356,3.34756
FI-2-9_S22,FI,Fitzroy Island,Inner,14748348,1489583148,3.06,93.15%,77.25%,2.65216,3.43307
JB_10_S8,JB,John Brewer Reef,Outer,13560962,1359810920,2.79,92.43%,76.99%,2.42552,3.15026
JB_11_S9,JB,John Brewer Reef,Outer,16163558,1624517344,3.34,91.35%,78.79%,2.83933,3.60351
JB_12_S10,JB,John Brewer Reef,Outer,15319042,1539388772,3.16,93.88%,79.61%,2.78801,3.50215
JB_13_S11,JB,John Brewer Reef,Outer,14808056,1488345910,3.06,92.97%,79.34%,2.66539,3.3594
JB_15_S12,JB,John Brewer Reef,Outer,15018672,1508783154,3.10,93.59%,79.90%,2.71816,3.40215
JB_16_S13,JB,John Brewer Reef,Outer,17290734,1737616965,3.57,87.13%,80.68%,2.90966,3.60659
JB_17_S14,JB,John Brewer Reef,Outer,12305534,1235238116,2.54,93.72%,75.95%,2.23465,2.94215
JB_18_S15,JB,John Brewer Reef,Outer,13582072,1362731508,2.80,92.47%,74.74%,2.41854,3.23573
JB_19_S16,JB,John Brewer Reef,Outer,15607330,1567513846,3.22,92.41%,80.20%,2.79088,3.47979
JB_1_S1,JB,John Brewer Reef,Outer,16476170,1656634431,3.40,96.26%,82.17%,3.07821,3.74613
JB_20_S17,JB,John Brewer Reef,Outer,15982366,1606273446,3.30,89.58%,79.98%,2.76921,3.46242
JB_21_S18,JB,John Brewer Reef,Outer,16587914,1667816298,3.43,93.19%,81.74%,2.99287,3.66132
JB_22_S19,JB,John Brewer Reef,Outer,14748266,1482054225,3.04,95.36%,79.75%,2.72194,3.41315
JB_23_S20,JB,John Brewer Reef,Outer,14037912,1410808515,2.90,88.69%,77.72%,2.40725,3.09724
JB_2_S2,JB,John Brewer Reef,Outer,20446292,2055780608,4.22,93.44%,84.62%,3.70185,4.37476
JB_3_S3,JB,John Brewer Reef,Outer,19147964,1923683384,3.95,91.90%,83.90%,3.40697,4.0607
JB_4_S4,JB,John Brewer Reef,Outer,16345110,1641947591,3.37,92.39%,80.96%,2.92068,3.6077
JB_5_S5,JB,John Brewer Reef,Outer,16001642,1607094701,3.30,87.56%,55.19%,2.31752,4.19912
JB_8_S6,JB,John Brewer Reef,Outer,19310406,1941161568,3.99,94.02%,83.34%,3.50814,4.20943
JB_9_S7,JB,John Brewer Reef,Outer,14708740,1476337675,3.03,94.14%,77.25%,2.6778,3.46644
MI-1-10_S11,MI,Magnetic Island,Inner,6821966,689018566,1.42,92.21%,54.02%,1.20298,2.22671
MI-1-12_S2,MI,Magnetic Island,Inner,4862210,491083210,1.01,93.38%,46.50%,0.875726,1.8832
MI-1-13_S3,MI,Magnetic Island,Inner,5135290,518664290,1.07,91.82%,45.42%,0.885531,1.94976
MI-1-16_S8,MI,Magnetic Island,Inner,13265622,1339827822,2.75,88.85%,70.66%,2.24959,3.18346
MI-1-19_S9,MI,Magnetic Island,Inner,9730388,982769188,2.02,91.85%,64.71%,1.7091,2.64123
MI-1-1_S10,MI,Magnetic Island,Inner,15348364,1550184764,3.18,91.97%,77.11%,2.73205,3.5431
MI-1-22_S4,MI,Magnetic Island,Inner,12320986,1244419586,2.56,93.94%,71.10%,2.24037,3.15116
MI-1-2_S3,MI,Magnetic Island,Inner,13084170,1321501170,2.71,94.41%,74.57%,2.41471,3.23796
MI-1-3_S29,MI,Magnetic Island,Inner,4191526,423344126,0.87,93.32%,42.20%,0.749027,1.77497
MI-1-4_S10,MI,Magnetic Island,Inner,124838162,12608654362,25.90,90.54%,73.67%,2.53079,3.43539
MI-1-5_S35,MI,Magnetic Island,Inner,9095742,918669942,1.89,93.65%,64.72%,1.66202,2.5681
MI-1-6_S37,MI,Magnetic Island,Inner,14617666,1476384266,3.03,95.17%,77.06%,2.71152,3.51888
MI-1-8_S20,MI,Magnetic Island,Inner,11103610,1121464610,2.30,94.86%,70.95%,2.05008,2.88949
MI-2-12_S11,MI,Magnetic Island,Inner,9471226,956593826,1.97,92.13%,64.23%,1.66774,2.59635
MI-2-14_S36,MI,Magnetic Island,Inner,6228386,629066986,1.29,90.55%,52.77%,1.092,2.06922
MI-2-16_S19,MI,Magnetic Island,Inner,4478058,452283858,0.93,88.24%,38.82%,0.739871,1.9057
MI-2-18_S14,MI,Magnetic Island,Inner,7661034,773764434,1.59,86.81%,55.97%,1.27349,2.27537
